Network: c10-bpga-cnn
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Conv2D(ReLU), shape:[28,28,32] (k:5,s:1,pad:no), parameters:2400, memory:116.8 KB
Maxpool2D shape:[14,14,32] (k:2,s:2), parameters:0, memory:24.5 KB
Dropout, ratio:0.25, shape:[14,14,32], parameters:0, memory:24.5 KB
Conv2D(ReLU), shape:[12,12,64] (k:3,s:1,pad:no), parameters:18432, memory:180.0 KB
Maxpool2D shape:[6,6,64] (k:2,s:2), parameters:0, memory:9.0 KB
Dropout, ratio:0.25, shape:[6,6,64], parameters:0, memory:9.0 KB
Conv2D(ReLU), shape:[4,4,128] (k:3,s:1,pad:no), parameters:73728, memory:584.0 KB
Maxpool2D shape:[2,2,128] (k:2,s:2), parameters:0, memory:2.0 KB
Dense(ReLU), shape:[128], parameters:65664, memory:513.0 KB
Dense(softmax), shape:[10], parameters:1290, memory:10.1 KB

Mutation probability: 0.2
Learning rate: 0.0005

SEED=48
epochs: 540, accuracy (validation - test): 0.7463 , 0.7455
epochs: 545, accuracy (validation - test): 0.7522 , 0.7456
epochs: 550, accuracy (validation - test): 0.7519 , 0.7419
epochs: 555, accuracy (validation - test): 0.7532 , 0.7509
epochs: 560, accuracy (validation - test): 0.7539 , 0.7512
epochs: 565, accuracy (validation - test): 0.7490 , 0.7432
epochs: 570, accuracy (validation - test): 0.7544 , 0.7457
epochs: 575, accuracy (validation - test): 0.7534 , 0.7486
epochs: 580, accuracy (validation - test): 0.7514 , 0.7413
epochs: 585, accuracy (validation - test): 0.7507 , 0.7439
epochs: 590, accuracy (validation - test): 0.7546 , 0.7502
epochs: 595, accuracy (validation - test): 0.7511 , 0.749
epochs: 600, accuracy (validation - test): 0.7517 , 0.7447
epochs: 605, accuracy (validation - test): 0.7528 , 0.7498
epochs: 610, accuracy (validation - test): 0.7563 , 0.7512
epochs: 615, accuracy (validation - test): 0.7556 , 0.7471
epochs: 620, accuracy (validation - test): 0.7583 , 0.7483
epochs: 625, accuracy (validation - test): 0.7573 , 0.749
epochs: 630, accuracy (validation - test): 0.7528 , 0.744
epochs: 635, accuracy (validation - test): 0.7570 , 0.7522
epochs: 640, accuracy (validation - test): 0.7547 , 0.7483
epochs: 645, accuracy (validation - test): 0.7547 , 0.7508
epochs: 650, accuracy (validation - test): 0.7489 , 0.7464
epochs: 655, accuracy (validation - test): 0.7555 , 0.7455
epochs: 660, accuracy (validation - test): 0.7528 , 0.756
epochs: 665, accuracy (validation - test): 0.7523 , 0.7515
epochs: 670, accuracy (validation - test): 0.7549 , 0.7494
epochs: 675, accuracy (validation - test): 0.7414 , 0.7359
epochs: 680, accuracy (validation - test): 0.7564 , 0.7519
epochs: 685, accuracy (validation - test): 0.7550 , 0.7485
epochs: 690, accuracy (validation - test): 0.7543 , 0.7507
epochs: 695, accuracy (validation - test): 0.7550 , 0.7482
epochs: 700, accuracy (validation - test): 0.7556 , 0.7495
epochs: 705, accuracy (validation - test): 0.7436 , 0.7348
epochs: 710, accuracy (validation - test): 0.7523 , 0.7478
epochs: 715, accuracy (validation - test): 0.7550 , 0.7463
epochs: 720, accuracy (validation - test): 0.7583 , 0.7508
epochs: 725, accuracy (validation - test): 0.7521 , 0.743
epochs: 730, accuracy (validation - test): 0.7502 , 0.7465
epochs: 735, accuracy (validation - test): 0.7575 , 0.7453
epochs: 740, accuracy (validation - test): 0.7525 , 0.7489
epochs: 745, accuracy (validation - test): 0.7553 , 0.75
epochs: 750, accuracy (validation - test): 0.7579 , 0.7543
Total values needed to encode all trainable parameters: 161514

Seed: 48
----------

Crossover: AvgSome, learning rate: 0.0005, mutation epochs: 5
evolving 20 members for 150 generations...
Generation   1, time: 62.95s, fitness max: 0.130700, min: 0.069400, mean: 0.102255
Generation   2, time: 21m 15s, fitness max: 0.665900, min: 0.074400, mean: 0.213580
Generation   3, time: 25m 59s, fitness max: 0.712700, min: 0.098000, mean: 0.404345
Generation   4, time: 24m 58s, fitness max: 0.731700, min: 0.123500, mean: 0.407285
Generation   5, time: 10m 31s, fitness max: 0.751400, min: 0.095800, mean: 0.303840
Generation   6, time: 15m 20s, fitness max: 0.751400, min: 0.099700, mean: 0.267495
Generation   7, time: 25m 01s, fitness max: 0.751400, min: 0.095200, mean: 0.375360
Generation   8, time: 15m 24s, fitness max: 0.751400, min: 0.100100, mean: 0.318820
Generation   9, time: 29m 38s, fitness max: 0.758300, min: 0.099700, mean: 0.372615
Generation  10, time: 24m 46s, fitness max: 0.765000, min: 0.093200, mean: 0.401170
Generation  11, time: 15m 09s, fitness max: 0.768700, min: 0.099700, mean: 0.322140
Generation  12, time: 15m 13s, fitness max: 0.768700, min: 0.097600, mean: 0.345990
Generation  13, time: 15m 12s, fitness max: 0.769600, min: 0.102900, mean: 0.348730
Generation  14, time: 24m 40s, fitness max: 0.776100, min: 0.099300, mean: 0.385615
Generation  15, time: 24m 37s, fitness max: 0.776100, min: 0.096500, mean: 0.409550
Generation  16, time: 5m 45s, fitness max: 0.776100, min: 0.108200, mean: 0.266460
Generation  17, time: 20m 00s, fitness max: 0.779900, min: 0.100300, mean: 0.319430
Generation  18, time: 34m 10s, fitness max: 0.779900, min: 0.095200, mean: 0.434555
Generation  19, time: 19m 54s, fitness max: 0.779900, min: 0.095200, mean: 0.368025
Generation  20, time: 10m 29s, fitness max: 0.779900, min: 0.099800, mean: 0.295235
Generation  21, time: 19m 58s, fitness max: 0.779900, min: 0.099700, mean: 0.329735
Generation  22, time: 5m 44s, fitness max: 0.779900, min: 0.100300, mean: 0.303040
Generation  23, time: 15m 13s, fitness max: 0.779900, min: 0.104500, mean: 0.281190
Generation  24, time: 29m 22s, fitness max: 0.779900, min: 0.089700, mean: 0.370910
Generation  25, time: 19m 54s, fitness max: 0.779900, min: 0.100100, mean: 0.405885
Generation  26, time: 15m 13s, fitness max: 0.780800, min: 0.099700, mean: 0.349210
Generation  27, time: 29m 19s, fitness max: 0.780900, min: 0.101600, mean: 0.419315
Generation  28, time: 29m 15s, fitness max: 0.782200, min: 0.099800, mean: 0.422685
Generation  29, time: 15m 13s, fitness max: 0.783400, min: 0.100300, mean: 0.383885
Generation  30, time: 24m 38s, fitness max: 0.783400, min: 0.103800, mean: 0.393690
Generation  31, time: 24m 40s, fitness max: 0.783400, min: 0.113500, mean: 0.410440
Generation  32, time: 19m 51s, fitness max: 0.783400, min: 0.097800, mean: 0.392835
Generation  33, time: 34m 10s, fitness max: 0.783400, min: 0.100200, mean: 0.467445
Generation  34, time: 15m 10s, fitness max: 0.783400, min: 0.100600, mean: 0.351055
Generation  35, time: 24m 38s, fitness max: 0.783400, min: 0.100700, mean: 0.378425
Generation  36, time: 19m 49s, fitness max: 0.783400, min: 0.095000, mean: 0.358265
Generation  37, time: 24m 38s, fitness max: 0.783400, min: 0.099700, mean: 0.399375
Generation  38, time: 10m 24s, fitness max: 0.783400, min: 0.101600, mean: 0.305355
Generation  39, time: 19m 52s, fitness max: 0.783400, min: 0.098100, mean: 0.340200
Generation  40, time: 33m 55s, fitness max: 0.783400, min: 0.100100, mean: 0.490510
Generation  41, time: 15m 09s, fitness max: 0.783400, min: 0.100800, mean: 0.347455
Generation  42, time: 10m 24s, fitness max: 0.783400, min: 0.108100, mean: 0.299550
Generation  43, time: 24m 34s, fitness max: 0.792400, min: 0.095200, mean: 0.371490
Generation  44, time: 10m 27s, fitness max: 0.792400, min: 0.098100, mean: 0.322510
Generation  45, time: 24m 40s, fitness max: 0.792400, min: 0.105000, mean: 0.367000
Generation  46, time: 10m 25s, fitness max: 0.792400, min: 0.099700, mean: 0.325150
