CPU: [11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz]
12 threads with OpenMP
Training data: (40000,3072) 468.8 MB
Validation data: (10000,3072) 117.2 MB
Testing data: (10000,3072) 117.2 MB

Network: cifar10cnn-student
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Conv2D(ReLU), shape:[28,28,8] (k:5,s:1,pad:no), parameters:600, memory:29.2 KB
Maxpool2D shape:[14,14,8] (k:2,s:2), parameters:0, memory:6.1 KB
Conv2D(ReLU), shape:[12,12,16] (k:3,s:1,pad:no), parameters:1152, memory:18.0 KB
Maxpool2D shape:[6,6,16] (k:2,s:2), parameters:0, memory:2.2 KB
Conv2D(ReLU), shape:[4,4,32] (k:3,s:1,pad:no), parameters:4608, memory:38.0 KB
Maxpool2D shape:[2,2,32] (k:2,s:2), parameters:0, memory:512 bytes
Dense(ReLU), shape:[64], parameters:8256, memory:64.5 KB
Dense(Softmax), shape:[10], parameters:650, memory:5.1 KB

Training...
epoch: 88, time: 7.69 secs (speed 5559.0), loss (CCE): 25687.3145, validation accuracy: 0.6412
epoch: 89, time: 7.70 secs (speed 5537.2), loss (CCE): 25494.8379, validation accuracy: 0.6409
epoch: 90, time: 7.76 secs (speed 5533.1), loss (CCE): 25509.9863, validation accuracy: 0.6341
epoch: 91, time: 7.68 secs (speed 5551.5), loss (CCE): 25332.8652, validation accuracy: 0.6380
epoch: 92, time: 7.76 secs (speed 5517.2), loss (CCE): 25293.1387, validation accuracy: 0.6289
epoch: 93, time: 7.68 secs (speed 5541.5), loss (CCE): 25138.4238, validation accuracy: 0.6389
epoch: 94, time: 7.74 secs (speed 5518.8), loss (CCE): 25131.5332, validation accuracy: 0.6433
epoch: 95, time: 7.66 secs (speed 5575.5), loss (CCE): 25092.8516, validation accuracy: 0.6333
epoch: 96, time: 7.43 secs (speed 5676.3), loss (CCE): 25105.6445, validation accuracy: 0.6354
epoch: 97, time: 7.49 secs (speed 5750.3), loss (CCE): 24830.1406, validation accuracy: 0.6303
epoch: 98, time: 7.61 secs (speed 5616.0), loss (CCE): 24866.1641, validation accuracy: 0.6344
epoch: 99, time: 6.87 secs (speed 6249.0), loss (CCE): 24783.3281, validation accuracy: 0.6249
epoch: 100, time: 6.88 secs (speed 6269.7), loss (CCE): 24677.5371, validation accuracy: 0.6375
